ADM_NM,경로당 수
사직동,1
삼청동,2
부암동,1
평창동,6
한남동,10
왕십리2동,18
마장동,15
중림동,4
옥수동,18
장충동,2
광희동,3
사근동,6
후암동,4
용산2가동,4
남영동,4
원효로2동,6
효창동,4
용문동,6
이태원1동,6
금호1가동,6
금호4가동,12
성수1가1동,12
성수2가1동,8
송정동,5
용답동,4
정릉4동,14
길음1동,19
성북동,5
삼선동,9
동선동,4
휘경1동,8
이문1동,9
이문2동,11
답십리1동,11
상봉1동,10
중화1동,6
신내1동,20
월곡2동,10
자양3동,18
구의2동,3
수유1동,6
삼양동,14
송천동,10
삼각산동,9
우이동,5
월계2동,12
정릉1동,11
무악동,3
종로5·6가동,6
이화동,4
창신1동,3
창신2동,4
을지로동,1
수색동,10
진관동,28
불광2동,8
응암3동,3
천연동,12
하계2동,5
홍은2동,4
남가좌1동,7
염리동,9
연남동,5
성산1동,5
상계8동,4
상계3·4동,11
신정3동,19
논현2동,5
가양1동,25
발산1동,10
공항동,8
방화1동,24
방화2동,9
방화3동,17
대치1동,15
신도림동,21
구로1동,16
구로3동,11
구로4동,10
고척1동,19
고척2동,10
시흥1동,9
북가좌2동,5
충현동,6
북아현동,7
신촌동,4
시흥5동,6
목4동,7
당산2동,17
양평1동,18
양평2동,14
신길1동,16
신길6동,9
신길7동,3
망원2동,5
대림3동,9
영등포본동,8
영등포동,14
도림동,8
문래동,24
노량진2동,2
상도1동,14
상도2동,7
상도3동,3
상도4동,4
대방동,11
신대방2동,1
흑석동,6
노량진1동,17
사당2동,5
보라매동,3
등촌3동,14
삼성동,9
미성동,10
양재1동,18
양재2동,4
내곡동,17
세곡동,21
가산동,10
장지동,3
위례동,11
서초2동,6
서림동,2
신사동,3
반포본동,4
오륜동,2
논현1동,5
신월4동,10
정릉2동,14
정릉3동,7
장위3동,6
창신3동,4
숭인1동,4
숭인2동,3
청운효자동,2
혜화동,6
소공동,1
회현동,3
명동,1
필동,1
신당5동,7
서빙고동,9
보광동,12
청파동,4
원효로1동,7
한강로동,8
황학동,3
신당동,3
다산동,3
약수동,5
신정1동,19
청구동,5
신정4동,5
동화동,6
이촌1동,10
이촌2동,6
이태원2동,6
행당1동,11
행당2동,7
응봉동,9
성수1가2동,8
성수2가3동,10
왕십리도선동,13
상암동,11
공덕동,16
독산1동,26
금호2·3가동,13
화양동,2
군자동,4
등촌1동,18
중곡1동,2
상계9동,4
중곡2동,3
중계1동,15
중곡3동,2
중곡4동,5
능동,1
구의1동,4
구의3동,8
잠실본동,6
광장동,20
자양1동,5
자양2동,10
잠실4동,5
자양4동,8
잠실6동,3
회기동,1
휘경2동,10
청량리동,14
용신동,8
제기동,6
전농1동,6
전농2동,9
답십리2동,21
잠실7동,2
장안1동,13
장안2동,10
면목2동,5
면목4동,8
잠실2동,2
면목5동,3
면목7동,12
상봉2동,2
중화2동,5
묵1동,13
묵2동,5
공릉2동,23
망우3동,3
신내2동,9
면목본동,7
면목3·8동,8
망우본동,10
돈암1동,8
돈암2동,9
안암동,6
보문동,6
길음2동,6
공릉1동,19
월곡1동,11
장위1동,5
장위2동,2
불광1동,13
종암동,19
석관동,8
번1동,6
번2동,10
번3동,14
수유2동,5
수유3동,4
송중동,7
쌍문1동,13
쌍문2동,7
쌍문3동,7
쌍문4동,11
방학1동,11
방학2동,4
방학3동,18
창1동,6
창2동,7
창3동,5
창4동,10
창5동,12
남가좌2동,6
북가좌1동,17
도봉1동,10
도봉2동,15
월계1동,19
월계3동,12
하계1동,11
중계본동,16
중계4동,12
상계1동,27
상계2동,13
상계5동,10
중계2·3동,12
상계10동,5
상계6·7동,9
녹번동,12
갈현1동,6
갈현2동,6
구산동,5
대조동,4
응암1동,7
응암2동,4
신사1동,9
대치4동,6
신사2동,8
증산동,9
역촌동,3
홍제1동,24
홍제3동,2
홍제2동,2
홍은1동,17
연희동,11
용강동,10
대흥동,6
신수동,15
서교동,5
신월1동,11
합정동,4
망원1동,5
성산2동,18
도화동,12
서강동,11
아현동,18
목1동,19
목2동,10
목3동,5
신월2동,10
신월3동,3
신월5동,2
신월6동,6
중앙동,2
신월7동,7
신정2동,12
신정6동,3
신정7동,9
목5동,6
염창동,35
등촌2동,8
화곡본동,11
화곡2동,2
화곡3동,5
화곡4동,4
화곡6동,6
화곡8동,5
가양2동,7
가양3동,8
화곡1동,6
우장산동,10
구로5동,14
개봉2동,13
개봉3동,6
오류1동,11
수궁동,9
가리봉동,4
구로2동,11
개봉1동,11
오류2동,20
항동,8
독산2동,2
독산3동,6
독산4동,3
시흥2동,12
시흥3동,5
시흥4동,7
여의동,5
당산1동,17
신길3동,4
신길4동,3
신길5동,4
대림1동,6
대림2동,5
사당1동,7
서초4동,9
사당3동,4
사당4동,4
반포1동,8
사당5동,4
신대방1동,10
청림동,5
행운동,7
낙성대동,4
인헌동,5
남현동,4
서원동,5
신원동,3
신림동,3
난향동,8
조원동,5
대학동,4
방배1동,1
은천동,11
성현동,10
청룡동,5
난곡동,6
서초1동,8
서초3동,8
잠원동,31
반포2동,3
반포3동,9
반포4동,6
방배본동,8
방배3동,11
방배4동,4
신사동,3
삼성1동,12
삼성2동,12
역삼1동,19
역삼2동,7
도곡1동,12
풍납1동,7
도곡2동,5
풍납2동,13
개포1동,11
방이2동,2
개포4동,3
일원본동,13
일원1동,2
송파2동,6
개포3동,4
수서동,9
압구정동,9
석촌동,3
청담동,14
삼전동,2
대치2동,9
가락본동,9
개포2동,10
거여1동,6
거여2동,12
문정1동,6
마천1동,7
마천2동,6
방이1동,3
오금동,16
송파1동,5
가락1동,4
가락2동,11
문정2동,4
잠실3동,6
성내1동,13
명일1동,8
명일2동,5
고덕1동,10
고덕2동,3
암사2동,2
암사3동,4
천호1동,14
천호3동,4
성내2동,3
성내3동,1
둔촌1동,2
둔촌2동,13
암사1동,18
천호2동,5
길동,10
강일동,13
상일1동,8
상일2동,1
교남동,2
가회동,4
종로1·2·3·4가동,18
방배2동,5
미아동,7
인수동,8
