행정동,0~4세,5~9세,0~9세
사직동,174,288,462
삼청동,28,58,86
부암동,118,263,381
평창동,397,599,996
무악동,193,353,546
교남동,328,413,741
가회동,58,90,148
종로1·2·3·4가동,83,87,170
종로5·6가동,53,103,156
이화동,75,96,171
창신1동,49,58,107
창신2동,62,95,157
창신3동,138,156,294
숭인1동,74,128,202
숭인2동,95,99,194
청운효자동,227,369,596
혜화동,190,322,512
소공동,58,89,147
회현동,85,78,163
명동,25,34,59
필동,56,83,139
장충동,52,82,134
광희동,62,62,124
을지로동,93,45,138
신당5동,222,224,446
황학동,334,316,650
중림동,475,459,934
신당동,102,128,230
다산동,208,227,435
약수동,386,454,840
청구동,294,326,620
동화동,235,336,571
후암동,294,398,692
용산2가동,109,146,255
남영동,46,80,126
원효로2동,322,408,730
효창동,335,416,751
용문동,313,310,623
이촌1동,806,1364,2170
이촌2동,247,178,425
이태원1동,98,107,205
이태원2동,146,197,343
서빙고동,281,377,658
보광동,126,137,263
청파동,217,279,496
원효로1동,535,559,1094
한강로동,706,525,1231
한남동,487,540,1027
왕십리2동,530,523,1053
마장동,452,515,967
사근동,140,185,325
행당1동,382,466,848
행당2동,709,850,1559
응봉동,397,580,977
금호1가동,490,581,1071
금호4가동,561,624,1185
성수1가1동,396,420,816
성수1가2동,289,311,600
성수2가1동,282,299,581
성수2가3동,212,239,451
송정동,157,214,371
용답동,120,161,281
왕십리도선동,883,1094,1977
금호2·3가동,774,766,1540
옥수동,1082,1209,2291
화양동,128,156,284
군자동,269,376,645
중곡1동,294,271,565
중곡2동,320,510,830
중곡3동,292,313,605
중곡4동,462,553,1015
능동,218,214,432
구의1동,387,472,859
구의2동,527,781,1308
구의3동,660,914,1574
광장동,654,1761,2415
자양1동,303,420,723
자양2동,543,666,1209
자양3동,842,1116,1958
자양4동,391,395,786
회기동,109,202,311
휘경1동,294,368,662
휘경2동,365,570,935
청량리동,264,354,618
용신동,940,1045,1985
제기동,363,433,796
전농1동,824,1152,1976
전농2동,396,587,983
답십리2동,780,801,1581
장안1동,936,1178,2114
장안2동,1035,1451,2486
이문1동,218,351,569
이문2동,412,589,1001
답십리1동,1004,1281,2285
면목2동,408,537,945
면목4동,370,478,848
면목5동,603,710,1313
면목7동,512,515,1027
상봉1동,669,814,1483
상봉2동,433,295,728
중화1동,404,503,907
중화2동,400,454,854
묵1동,641,1098,1739
묵2동,352,430,782
망우3동,236,323,559
신내1동,913,1355,2268
신내2동,398,582,980
면목본동,546,679,1225
면목3·8동,435,474,909
망우본동,1199,1348,2547
돈암1동,314,352,666
돈암2동,601,1031,1632
안암동,162,209,371
보문동,444,519,963
정릉1동,512,705,1217
정릉2동,530,716,1246
정릉3동,215,224,439
정릉4동,547,645,1192
길음1동,978,1943,2921
길음2동,820,1211,2031
월곡1동,647,961,1608
월곡2동,349,447,796
장위1동,541,936,1477
장위2동,221,262,483
장위3동,609,873,1482
성북동,309,302,611
삼선동,325,481,806
동선동,145,256,401
종암동,810,1287,2097
석관동,717,941,1658
번1동,210,277,487
번2동,193,295,488
번3동,279,388,667
수유1동,270,439,709
수유2동,340,493,833
수유3동,242,352,594
삼양동,396,587,983
미아동,213,352,565
송중동,555,713,1268
송천동,301,438,739
삼각산동,808,1452,2260
우이동,328,512,840
인수동,411,731,1142
쌍문1동,340,559,899
쌍문2동,334,455,789
쌍문3동,303,363,666
쌍문4동,329,606,935
방학1동,440,755,1195
방학2동,242,418,660
방학3동,496,984,1480
창1동,437,700,1137
창2동,565,805,1370
창3동,164,341,505
창4동,552,841,1393
창5동,488,694,1182
도봉1동,242,374,616
도봉2동,636,779,1415
월계1동,393,496,889
월계2동,580,783,1363
월계3동,809,913,1722
공릉2동,1198,1693,2891
하계1동,374,493,867
하계2동,419,797,1216
중계본동,265,864,1129
중계1동,329,1316,1645
중계4동,276,600,876
상계1동,712,1076,1788
상계2동,256,430,686
상계5동,351,489,840
상계8동,1023,878,1901
상계9동,460,590,1050
상계10동,558,635,1193
상계3·4동,572,907,1479
상계6·7동,824,1059,1883
중계2·3동,624,896,1520
공릉1동,599,888,1487
녹번동,981,1133,2114
불광1동,840,995,1835
갈현1동,192,282,474
갈현2동,389,719,1108
구산동,494,840,1334
대조동,389,529,918
응암1동,939,1291,2230
응암2동,1162,1565,2727
신사1동,493,704,1197
신사2동,342,494,836
증산동,517,559,1076
수색동,898,849,1747
진관동,1155,2172,3327
불광2동,308,476,784
응암3동,325,418,743
역촌동,711,1113,1824
천연동,463,545,1008
홍제1동,662,789,1451
홍제3동,456,545,1001
홍제2동,306,345,651
홍은1동,546,703,1249
홍은2동,597,877,1474
남가좌1동,678,1274,1952
남가좌2동,926,1381,2307
북가좌1동,447,699,1146
북가좌2동,500,677,1177
충현동,409,637,1046
북아현동,593,697,1290
신촌동,250,216,466
연희동,506,799,1305
용강동,643,1224,1867
대흥동,241,328,569
염리동,472,795,1267
신수동,649,809,1458
서교동,301,360,661
합정동,326,322,648
망원1동,325,454,779
망원2동,325,497,822
연남동,210,247,457
성산1동,266,443,709
성산2동,816,993,1809
상암동,648,1213,1861
도화동,584,711,1295
서강동,650,944,1594
공덕동,871,1029,1900
아현동,1365,1567,2932
목1동,588,1812,2400
목2동,562,743,1305
목3동,531,567,1098
목4동,316,660,976
신월1동,294,400,694
신월2동,512,728,1240
신월3동,293,348,641
신월4동,431,678,1109
신월5동,280,414,694
신월6동,634,758,1392
신월7동,370,412,782
신정1동,379,1117,1496
신정2동,243,751,994
신정3동,1294,1838,3132
신정6동,511,1230,1741
신정7동,579,1017,1596
목5동,711,2233,2944
신정4동,463,682,1145
염창동,1462,1974,3436
등촌1동,689,554,1243
등촌2동,442,533,975
등촌3동,643,770,1413
화곡본동,562,858,1420
화곡2동,299,519,818
화곡3동,392,595,987
화곡4동,362,465,827
화곡6동,731,649,1380
화곡8동,394,524,918
가양1동,677,673,1350
가양2동,212,217,429
가양3동,412,210,622
발산1동,834,1483,2317
공항동,1063,1753,2816
방화1동,1231,1862,3093
방화2동,443,550,993
방화3동,512,523,1035
화곡1동,929,1065,1994
우장산동,1056,2067,3123
신도림동,1274,1710,2984
구로1동,739,821,1560
구로3동,458,499,957
구로4동,284,311,595
구로5동,768,739,1507
고척1동,875,800,1675
고척2동,503,760,1263
개봉2동,701,938,1639
개봉3동,349,524,873
오류1동,503,462,965
수궁동,480,641,1121
가리봉동,78,97,175
구로2동,277,337,614
개봉1동,1013,939,1952
오류2동,794,1319,2113
항동,935,1506,2441
가산동,317,258,575
독산1동,1464,1451,2915
독산2동,279,415,694
독산3동,366,402,768
독산4동,217,263,480
시흥1동,595,801,1396
시흥2동,477,709,1186
시흥3동,159,245,404
시흥4동,289,463,752
시흥5동,317,397,714
여의동,905,1434,2339
당산1동,550,425,975
당산2동,1130,1246,2376
양평1동,633,524,1157
양평2동,798,676,1474
신길1동,346,387,733
신길3동,444,569,1013
신길4동,343,426,769
신길5동,276,379,655
신길6동,421,514,935
신길7동,780,1103,1883
대림1동,311,372,683
대림2동,161,188,349
대림3동,476,459,935
영등포본동,527,616,1143
영등포동,597,500,1097
도림동,434,381,815
문래동,1245,1601,2846
노량진2동,82,116,198
상도1동,860,1249,2109
상도2동,939,1197,2136
상도3동,368,494,862
상도4동,514,667,1181
사당1동,279,324,603
사당3동,674,1052,1726
사당4동,240,313,553
사당5동,414,427,841
대방동,557,1066,1623
신대방1동,497,781,1278
신대방2동,632,817,1449
흑석동,899,1360,2259
노량진1동,739,803,1542
사당2동,769,942,1711
보라매동,364,575,939
청림동,521,517,1038
행운동,373,486,859
낙성대동,207,291,498
중앙동,153,184,337
인헌동,390,445,835
남현동,339,386,725
서원동,242,253,495
신원동,163,213,376
서림동,234,359,593
신사동,211,317,528
신림동,128,128,256
난향동,317,526,843
조원동,360,327,687
대학동,247,278,525
은천동,665,913,1578
성현동,605,952,1557
청룡동,498,541,1039
난곡동,333,519,852
삼성동,229,375,604
미성동,501,815,1316
서초1동,472,649,1121
서초2동,826,1188,2014
서초3동,673,845,1518
서초4동,718,1748,2466
잠원동,595,1135,1730
반포본동,3,11,14
반포1동,904,2009,2913
반포2동,780,1408,2188
반포3동,697,1152,1849
반포4동,549,876,1425
방배본동,364,848,1212
방배1동,362,572,934
방배2동,401,533,934
방배3동,429,644,1073
방배4동,461,818,1279
양재1동,1161,1571,2732
양재2동,456,527,983
내곡동,558,875,1433
신사동,317,515,832
개포3동,390,628,1018
논현1동,264,286,550
논현2동,346,514,860
삼성1동,261,392,653
삼성2동,721,1264,1985
대치1동,292,1238,1530
대치4동,212,378,590
역삼1동,424,393,817
역삼2동,619,1554,2173
도곡1동,505,900,1405
도곡2동,702,1710,2412
개포1동,283,565,848
개포4동,710,845,1555
일원본동,571,1183,1754
일원1동,252,325,577
수서동,298,224,522
세곡동,1518,2124,3642
압구정동,665,1123,1788
청담동,615,1044,1659
대치2동,614,1590,2204
개포2동,1451,2180,3631
풍납1동,264,279,543
풍납2동,699,861,1560
거여1동,229,261,490
거여2동,778,993,1771
마천1동,285,388,673
마천2동,254,318,572
방이1동,310,575,885
방이2동,453,474,927
오륜동,300,785,1085
오금동,904,1361,2265
송파1동,439,504,943
송파2동,471,767,1238
석촌동,590,636,1226
삼전동,482,602,1084
가락본동,648,706,1354
가락1동,1330,1673,3003
가락2동,742,1297,2039
문정1동,471,582,1053
문정2동,675,772,1447
잠실본동,442,509,951
잠실4동,721,1533,2254
잠실6동,443,794,1237
잠실7동,198,336,534
잠실2동,928,2361,3289
잠실3동,815,1730,2545
장지동,905,1059,1964
위례동,2712,3670,6382
명일1동,918,1106,2024
명일2동,280,653,933
고덕1동,554,1629,2183
고덕2동,943,1461,2404
암사2동,582,559,1141
암사3동,519,995,1514
천호1동,558,570,1128
천호3동,585,547,1132
성내1동,598,717,1315
성내2동,424,419,843
성내3동,404,577,981
둔촌2동,690,830,1520
암사1동,721,990,1711
천호2동,705,742,1447
길동,900,1110,2010
강일동,1461,1625,3086
상일1동,1552,2965,4517
상일2동,526,476,1002
